# Lesson notes — 17 Aug 2026
# nl<TAB>en<TAB>pos (pos optional; blank = auto-detect)
ze wisten het al	they already knew	phrase
plaatsvinden	take place / happen	verb
rijden op	to ride (on)	verb
inmiddels	by now	other
vertrekken	to leave / to depart	verb
uitgaan	to go out / to party	verb
ze volgen de regels niet	they don't follow the rules	phrase
afstandelijker	more distant / more aloof	other
echter	however	other
het uitwisselingsprogramma	exchange programme	noun
behoorlijk vaak	quite often	phrase
het heimwee	homesickness	noun
tegelijkertijd	at the same time	other
de familieomstandigheden	family circumstances	noun
levendig	lively	other
de hondenuitlaatservice	dog walking service	noun
zo veel mogelijk	as much as possible	phrase
in de armen vallen	to give a hug	phrase
last hebben van	to be bothered by	phrase
de sociale samenleving	social society	noun
nogal	quite / rather	other
snikheet	boiling hot	other
kroegen (de kroeg)	pubs	
richtingen (de richting)	directions	
wensen (de wens)	wishes	
zich afvragen	to wonder	verb
eenvoudig	simple / easy	other
verslavend	addictive	other
merken (het merk)	brands	
